Mouse	Human
Plxna1	[PLXNA1]
Pcnp	[PCNP]
Pcp2	[PCP2]
Zfp668	[ZNF668]
Itprid1	[ITPRID1]
Pcp4	[PCP4]
Itprid2	[ITPRID2]
Ube3d	[UBE3D]
Miga2	[MIGA2]
Lyg1	[LYG1]
Ube3c	[UBE3C]
Miga1	[MIGA1]
Sap18b	[SAP18]
Zfp664	[ZNF664]
Zfp667	[ZNF667]
Cep350	[CEP350]
Pcnx	[PCNX1]
Or2i1	[OR2I1P]
Ube2z	[UBE2Z]
Lyg2	[LYG2]
Prpf8	[PRPF8]
Ube3b	[UBE3B]
Pcnt	[PCNT]
Ube3a	[UBE3A]
Prph2	[PRPH2]
Cotl1	[COTL1]
Zfp652	[ZNF652]
Zfp658	[ZNF175]
Zfp654	[ZNF654]
Zfp653	[ZNF653]
Micall2	[MICALL2]
Or2j3	[OR2J3, OR2J2, OR2J1]
Zfp655	[ZNF655]
Micall1	[MICALL1]
Ect2	[ECT2]
Efnb1	[EFNB1]
Efnb2	[EFNB2]
Efnb3	[EFNB3]
Usb1	[USB1]
Gm34066	[C2orf66]
Serac1	[SERAC1]
Zfp641	[ZNF641]
Plxnc1	[PLXNC1]
Zfp647	[ZNF250]
Zfp646	[ZNF646]
Plxnd1	[PLXND1]
Tpsb2	[TPSB2, TPSAB1]
Zfp648	[ZNF648]
Skida1	[SKIDA1]
Krtap4-16	[KRTAP4-3, KRTAP4-1]
Zfp644	[ZNF644]
Krtap4-13	[KRTAP4-9, KRTAP4-3]
Ccnb1-ps	[CCNB1]
Or2k2	[OR2K2]
Efna4	[EFNA4]
Efna5	[EFNA5]
Srcin1	[SRCIN1]
Efna1	[EFNA1]
Shisal2a	[SHISAL2A]
Efna2	[EFNA2]
Use1	[USE1]
Shisal2b	[SHISAL2B]
Efna3	[EFNA3]
Gm10061	[KRTAP20-1, KRTAP20-2]
Or2d2	[OR2D2]
Or2d3	[OR2D3]
Vmn1r224	[VN1R2, VN1R3]
Vmn1r225	[VN1R2]
Vmn1r226	[VN1R2]
Lyl1	[LYL1]
Zp1	[ZP1]
Zp3	[ZP3]
Zp2	[ZP2]
Vmn1r228	[VN1R2, VN1R3]
Vmn1r229	[VN1R2, VN1R3]
Stk32c	[STK32C]
Stk32a	[STK32A]
Stk32b	[STK32B]
Vmn1r232	[VN1R2, VN1R3]
Vmn1r233	[VN1R4]
Vmn1r234	[VN1R4]
Vmn1r235	[VN1R4]
Vmn1r236	[VN1R4]
Vmn1r237	[VN1R4]
Bltp3a	[BLTP3A]
Bltp3b	[BLTP3B]
Kiss1	[KISS1]
Phyhd1	[PHYHD1]
Tpbg	[TPBG]
Zfp692	[ZNF692]
Zfp691	[ZNF691]
Mcoln3	[MCOLN3]
Qpctl	[QPCTL]
Zfp697	[ZNF697]
Or2f2	[OR2F2]
Aktip	[AKTIP]
Or2f1	[OR2F1]
Lysmd4	[LYSMD4]
Lysmd3	[LYSMD3]
Mcoln1	[MCOLN1]
Lysmd2	[LYSMD2]
Lysmd1	[LYSMD1]
Mcoln2	[MCOLN2]
Rasd1	[RASD1]
Usf1	[USF1]
Usf2	[USF2]
Rasd2	[RASD2]
Usf3	[USF3]
Zfp683	[ZNF683]
Pctp	[PCTP]
Uba52rt	[UBA52]
Or6b2b	[OR6B2]
Zfp687	[ZNF687]
Limk1	[LIMK1]
Zfp689	[ZNF689]
Limk2	[LIMK2]
Zfp688	[ZNF688]
Rpl34-ps1	[RPL34]
Rpl34-ps2	[RPL34]
Ciart	[CIART]
Smc6	[SMC6]
Smc5	[SMC5]
Smc4	[SMC4]
Smc3	[SMC3]
Smc2	[SMC2]
Gja1	[GJA1]
Gja3	[GJA3]
Hmbs	[HMBS]
Gja5	[GJA5]
4921524J17Rik	[C16orf87]
Gja4	[GJA4]
Ghitm	[GHITM]
Gja6	[GJA1, GJA6P]
Gja8	[GJA8]
Snupn	[SNUPN]
Cd2ap	[CD2AP]
Fam210b	[FAM210B]
Fam210a	[FAM210A]
mt-Ts1	[TRNS1]
mt-Ts2	[TRNS2]
Slc51a	[SLC51A]
Slc51b	[SLC51B]
Tsga10ip	[TSGA10IP]
Mir100hg	[MIR100HG]
Smcp	[SMCP]
Tph2	[TPH2]
Tph1	[TPH1]
Higd1c	[HIGD1C]
Rn7sk	[RN7SK]
Prrt4	[PRRT4]
Frg2f10	[FRG2, FRG2B]
Frg2f11	[FRG2, FRG2B]
Gjc1	[GJC1]
Frg2f12	[FRG2, FRG2B]
Prrt1	[PRRT1]
Frg2f13	[FRG2, FRG2B]
Prrt2	[PRRT2]
Gjc3	[GJC3]
Gjc2	[GJC2]
Prrt3	[PRRT3]
Mettl2	[METTL2B, METTL2A]
Cited4	[CITED4]
Mettl3	[METTL3]
Cited1	[CITED1]
Cited2	[CITED2]
Mettl1	[METTL1]
Pttg1ip2	[PTTG1IP2]
Higd1a	[HIGD1A]
Higd1b	[HIGD1B]
CN725425	[C12orf40]
Pelp1	[PELP1]
Stfa3	[CSTA]
Tdrkh	[TDRKH]
Stfa2	[CSTA]
Gjb2	[GJB2]
Stfa1	[CSTA]
Gjb1	[GJB1]
Gjb4	[GJB4]
Gjb3	[GJB3]
Gjb6	[GJB6]
Gjb5	[GJB5]
Higd2a	[HIGD2B, HIGD2A]
Smg1	[SMG1]
Or2ag1b	[OR2AG1]
Tcof1	[TCOF1]
Peli1	[PELI1]
Smg9	[SMG9]
Smg8	[SMG8]
Smg7	[SMG7]
Gje1	[GJE1]
Smg6	[SMG6]
Smg5	[SMG5]
4930469K13Rik	[C5orf58]
Or4c29	[OR4C16]
Or4p4	[OR4P4]
Tpi1	[TPI1]
Sdr42e1	[SDR42E1]
Or2ag2b	[OR2AG2]
Mettl6	[METTL6]
Mettl4	[METTL4]
Mettl5	[METTL5]
Mettl8	[METTL8]
Krtap10-4	[KRTAP10-3, KRTAP10-7, KRTAP10-10]
Mettl9	[METTL9]
Gucy2e	[GUCY2D]
Gjd2	[GJD2]
Gucy2c	[GUCY2C]
Gjd4	[GJD4]
Gjd3	[GJD3]
Peli2	[PELI2]
Peli3	[PELI3]
Or4c15	[OR4C15]
Ccsap	[CCSAP]
Or4c11	[OR4C11]
Ovca2	[OVCA2]
Or4c12	[OR4C12]
Gucy2g	[GUCY2GP]
Or4q3	[OR4Q3]
Gucy2f	[GUCY2F]
Or4c10	[OR4C13, OR4C46]
Vma21	[VMA21]
Ppfia3	[PPFIA3]
Uso1	[USO1]
Ppfia2	[PPFIA2]
Ppfia4	[PPFIA4]
Ppfia1	[PPFIA1]
Fgd2	[FGD2]
Fgd1	[FGD1]
Fgd4	[FGD4]
Fgd3	[FGD3]
Fgd6	[FGD6]
Fgd5	[FGD5]
Tm4sf1	[TM4SF1]
Tm4sf4	[TM4SF4]
Usp1	[USP1]
Tm4sf5	[TM4SF5]
Sh3bgr	[SH3BGR]
Tpk1	[TPK1]
Cysltr2	[CYSLTR2]
Cysltr1	[CYSLTR1]
Eps15l1	[EPS15L1]
Lyst	[LYST]
Map3k15	[MAP3K15]
Rdh16f2	[RDH16]
Map3k19	[MAP3K19]
Zyx	[ZYX]
Or4c35	[OR4C5]
Map3k10	[MAP3K10]
Map3k11	[MAP3K11]
Or4s2	[OR4S2]
Map3k12	[MAP3K12]
Map3k13	[MAP3K13]
Map3k14	[MAP3K14]
Ipmk	[IPMK]
Commd10	[COMMD10]
Fgf2	[FGF2]
Fgf1	[FGF1]
Ipo7	[IPO7]
Fgf4	[FGF4]
Ipo4	[IPO4]
Fgf3	[FGF3]
Ipo5	[IPO5]
Edc3	[EDC3]
Fgf6	[FGF6]
Edar	[EDAR]
Edc4	[EDC4]
Fgf5	[FGF5]
Fgf8	[FGF8]
Ipo8	[IPO8]
Fgf7	[FGF7]
Ipo9	[IPO9]
Fgf9	[FGF9]
Il4i1b	[IL4I1]
Nicn1	[NICN1]
Nova2	[NOVA2]
Nova1	[NOVA1]
Frmd8	[FRMD8, FRMD8P1]
Frmd7	[FRMD7]
Frmd6	[FRMD6]
Ftsj1	[FTSJ1]
Gpank1	[GPANK1]
Frmd5	[FRMD5]
Ftsj3	[FTSJ3]
Frmd3	[FRMD3]
Akap14	[AKAP14]
Gimd1	[GIMD1]
Tpm4	[TPM4]
Akap10	[AKAP10]
Tpm3	[TPM3]
Akap11	[AKAP11]
Akap12	[AKAP12]
Tpm2	[TPM2]
Tpm1	[TPM1]
Akap13	[AKAP13]
Usp2	[USP2]
Fam219a	[FAM219A]
Usp3	[USP3]
Usp4	[USP4]
Txlnb	[TXLNB]
Usp5	[USP5]
Fam219b	[FAM219B]
Ankzf1	[ANKZF1]
Txlna	[TXLNA]
Usp7	[USP7]
Usp8	[USP8]
Mir490	[MIR490]
1700066M21Rik	[C2orf69]
Mageh1	[MAGEH1]
Mir491	[MIR491]
Mir494	[MIR494]
Carns1	[CARNS1]
Mir493	[MIR493]
Mir495	[MIR495]
Mir497	[MIR497]
Mir499	[MIR499A]
Lyz1	[LYZ]
Lyz2	[LYZ]
Lyz3	[LYZ]
Fam177a2	[FAM177A1]
Dab1	[DAB1]
Qsox2	[QSOX2]
Trav3d-3	[TRAV5]
Dab2	[DAB2]
Qsox1	[QSOX1]
Phf20l1	[PHF20L1]
Exosc10	[EXOSC10]
Pdcl	[PDCL]
Mir483	[MIR483]
Smn1	[SMN2, SMN1]
Mir485	[MIR485]
Mir484	[MIR484]
Mir486	[MIR486-1]
Mir489	[MIR489]
Mir488	[MIR488]
Lrit1	[LRIT1]
Tpmt	[TPMT]
Lrit2	[LRIT2]
Lrit3	[LRIT3]
Hapln1	[HAPLN1]
Hapln2	[HAPLN2]
Ndufv2	[NDUFV2]
Hapln3	[HAPLN3]
Hapln4	[HAPLN4]
Ndufv1	[NDUFV1]
Ndufv3	[NDUFV3]
Tpp2	[TPP2]
Tpp1	[TPP1]
Or4x6	[OR4X2]
Dad1	[DAD1]
Pdilt	[PDILT]
Maged2	[MAGED2]
Magee1	[MAGEE1]
Magee2	[MAGEE2]
Ndufs1	[NDUFS1]
Ndufs3	[NDUFS3]
Ovch2	[OVCH2]
Ndufs2	[NDUFS2]
Ndufs5	[NDUFS5]
Ndufs4	[NDUFS4]
Ndufs7	[NDUFS7]
Ndufs6	[NDUFS6]
Esd-ps	[ESD]
Ddost	[DDOST]
Ndufs8	[NDUFS8]
Ippk	[IPPK]
Ccl19-ps1	[CCL19]
Ccl19-ps3	[CCL19]
Olfm3	[OLFM3]
Olfm2	[OLFM2]
Qtrt2	[QTRT2]
Olfm1	[OLFM1]
Pdzk1ip1	[PDZK1IP1]
Qtrt1	[QTRT1]
Hmmr	[HMMR]
Tbc1d10c	[TBC1D10C]
Edil3	[EDIL3]
Edf1	[EDF1]
Neurl1b	[NEURL1B]
Ccl19-ps5	[CCL19]
Magec2	[MAGEC1, MAGEC2]
Neurl1a	[NEURL1]
Ccl19-ps4	[CCL19]
Tbc1d10b	[TBC1D10B]
Tbc1d10a	[TBC1D10A]
Ccl19-ps6	[CCL19]
Bckdhb	[BCKDHB]
Fggy	[FGGY]
Maged1	[MAGED1]
Bckdha	[BCKDHA]
Olfm5	[OLFM5P]
Olfm4	[OLFM4]
Tppp	[TPPP]
Ubfd1	[UBFD1]
Smox	[SMOX]
Fgl2	[FGL2]
Fgl1	[FGL1]
Mageb4	[MAGEB2, MAGEB1, MAGEB4]
Mageb5	[MAGEB5]
Snurf	[SNURF]
Fam216b	[FAM216B]
Fam216a	[FAM216A]
Mageb1	[MAGEB1]
Mageb2	[MAGEB1, MAGEB6, MAGEB6B]
Mageb3	[MAGEB1, MAGEB6, MAGEB6B]
Prrx1	[PRRX1]
Prrx2	[PRRX2]
Slc3a1	[SLC3A1]
Slc3a2	[SLC3A2]
Smr2	[SMR3B]
Ctcfl	[CTCFL]
Ark2c	[ARK2C]
Tmlhe	[TMLHE]
Magea8	[MAGEA9, MAGEA1, MAGEA9B, MAGEA11, MAGEA10, MAGEA6, MAGEA3, MAGEA4]
Top1mt	[TOP1MT]
Magea9	[MAGEA9, MAGEA1, MAGEA9B, MAGEA10, MAGEA6, MAGEA3]
Magea3	[MAGEA9, MAGEA12, MAGEA8, MAGEA1, MAGEA2, MAGEA9B, MAGEA11, MAGEA2B, MAGEA10, MAGEA6, MAGEA3, MAGEA4]
Yme1l1	[YME1L1]
Magea4	[MAGEA12, MAGEA8, MAGEA2, MAGEA11, MAGEA2B, MAGEA10, MAGEA4]
Magea5	[MAGEA9, MAGEA12, MAGEA8, MAGEA1, MAGEA2, MAGEA9B, MAGEA11, MAGEA2B, MAGEA10, MAGEA6, MAGEA3, MAGEA4]
Luc7l3	[LUC7L3]
Fam217a	[FAM217A]
Magea6	[MAGEA10, MAGEA4]
Fam217b	[FAM217B]
Luc7l2	[LUC7L2]
Calr4	[CALR4P]
Magea1	[MAGEA10, MAGEA4]
Magea2	[MAGEA12, MAGEA8, MAGEA2, MAGEA2B, MAGEA10, MAGEA4]
Stard3nl	[STARD3NL]
Mbd3l1	[MBD3L1]
Calr3	[CALR3]
Mbd3l2	[MBD3L4, MBD3L5, MBD3L2, MBD3L3, MBD3L2B]
Lect2	[LECT2]
Dbil5	[DBIL5P]
Trp53cor1	[TP53COR1]
Tpt1	[TPT1P8, TPT1]
Atox1	[ATOX1]
Tprn	[TPRN]
Ark2n	[ARK2N]
Atosa	[ATOSA]
Cct6a	[CCT6A]
Pdhx	[PDHX]
Atosb	[ATOSB]
Mir539	[MIR539]
Nup205	[NUP205]
Akap8l	[AKAP8L]
Cyp3a25	[CYP3A7-CYP3A51P, CYP3A43, CYP3A7]
Pdk4	[PDK4]
Pdk3	[PDK3]
Mir542	[MIR542]
Tspan10	[TSPAN10]
Mir541	[MIR541]
Tspan11	[TSPAN11]
Pdk2	[PDK2]
Mir544	[MIR544A]
Tspan12	[TSPAN12]
Pdk1	[PDK1]
Mir543	[MIR543]
Barx2	[BARX2]
Barx1	[BARX1]
Smpx	[SMPX]
Dag1	[DAG1]
Tpte	[TPTE2, TPTE]
Pdhb	[PDHB]
Gal3st2c	[GAL3ST2]
Gal3st2b	[GAL3ST2]
Nxpe2	[NXPE2]
Cyp3a16	[CYP3A5]
Cyp3a13	[CYP3A7-CYP3A51P, CYP3A4, CYP3A5, CYP3A7]
Cyp3a11	[CYP3A5]
Nxpe4	[NXPE4]
Nxpe3	[NXPE3]
Cct6b	[CCT6B]
Mir532	[MIR532]
Col17a1	[COL17A1]
Hsd17b7	[HSD17B7]
Hsd17b8	[HSD17B8]
Mettl21e	[METTL21EP]
Hsd17b6	[HSD17B6]
Hsd17b3	[HSD17B3]
Mettl21c	[METTL21C]
Hsd17b4	[HSD17B4]
Calm4	[CALML5]
Calm3	[CALM3]
Derpc	[DERPC]
Calm5	[CALML5]
Calm2	[CALM2]
Cd320	[CD320]
Calm1	[CALM1]
Smtn	[SMTN]
Dynapl1	[DYNAP]
Hsd17b1	[HSD17B1]
Mettl21a	[METTL21A]
Hsd17b2	[HSD17B2]
Tspan31	[TSPAN31]
Tspan32	[TSPAN32]
Tspan33	[TSPAN33]
Tspan13	[TSPAN13]
Tspan14	[TSPAN14]
Mir501	[MIR501]
Tspan15	[TSPAN15]
Mir504	[MIR504]
Mir503	[MIR503]
Tspan17	[TSPAN17]
Tspan18	[TSPAN18]
Mir505	[MIR505]
Caln1	[CALN1]
Tpx2	[TPX2]
Smu1	[SMU1]
Nup214	[NUP214]
Gpaa1	[GPAA1]
Cisd3b	[CISD3]
Nup210	[NUP210]
Or5i1	[OR5I1]
Dclk2	[DCLK2]
H2-M11	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
Dclk3	[DCLK3]
Mir511	[MIR511]
Dclk1	[DCLK1]
Hmx3	[HMX3]
Cd302	[CD302]
C2cd2	[C2CD2]
C2cd3	[C2CD3]
C2cd5	[C2CD5]
C2cd6	[C2CD6]
Gm3858	[CXorf49B, CXorf49]
Or5a1	[OR5A1]
Gm773	[SYCP3]
Tsnaxip1	[TSNAXIP1]
Mir582	[MIR582]
Mir568	[MIR568]
Edn1	[EDN1]
Edn2	[EDN2]
Edn3	[EDN3]
Rbpms2	[RBPMS2]
Or5b3	[OR5B3]
Vwa8	[VWA8]
Rtn4r	[RTN4R]
Magel2	[MAGEL2]
Brcc3	[BRCC3]
Vwa1	[VWA1]
Vwa2	[VWA2]
Hmx1	[HMX1]
Hmx2	[HMX2]
Mir574	[MIR574]
Vwa7	[VWA7]
Arih1	[ARIH1]
Arih2	[ARIH2]
Cyp17a1	[CYP17A1]
Or5c1	[OR5C1]
Dync2h1	[DYNC2H1]
Txlng	[TXLNG]
B9d1	[B9D1]
B9d2	[B9D2]
Mettl25b	[METTL25B]
Or5d3	[OR5D3P]
Dync2i1	[DYNC2I1]
Dync2i2	[DYNC2I2]
Pdp1	[PDP1]
Akr1b10	[AKR1B10, AKR1B15]
Pdp2	[PDP2]
Brca2	[BRCA2]
Inpp1	[INPP1]
Brca1	[BRCA1]
Vwc2	[VWC2]
F2rl1	[F2RL1]
F2rl2	[F2RL2]
F2rl3	[F2RL3]
Dap3	[DAP3]
Khsrp	[KHSRP]
Nlrp4a	[NLRP4]
Nlrp4c	[NLRP4]
Vwde	[VWDE]
Nlrp4b	[NLRP4]
Nlrp4e	[NLRP4]
Nlrp4f	[NLRP4]
Derl3	[DERL3]
Cenatac	[CENATAC]
Map3k20	[MAP3K20]
Derl2	[DERL2]
Derl1	[DERL1]
Map3k21	[MAP3K21]
Azi2	[AZI2]
D930020B18Rik	[C12orf56]
Or4c52	[OR4C45]
Ralgps2	[RALGPS2]
Ralgps1	[RALGPS1]
Mir181c	[MIR181C]
Masp1	[MASP1]
Or52n4b	[OR52N4]
Masp2	[MASP2]
Vwce	[VWCE]
Or4c3d	[OR4C3]
Pdpr	[PDPR]
Hspbap1	[HSPBAP1]
Pdpn	[PDPN]
Mir181d	[MIR181D]
Calcr	[CALCR]
Arid2	[ARID2]
Calcb	[CALCB]
Calca	[CALCA, CALCB]
Rap1gds1	[RAP1GDS1]
Or5p6	[OR5P2]
Jade1	[JADE1]
Jade2	[JADE2]
Jade3	[JADE3]
Cyria	[CYRIA]
Cyrib	[CYRIB]
Ccrl2	[CCRL2]
Nelfcd	[NELFCD]
Gm15446	[ZNF17]
Lzic	[LZIC]
Ralgds	[RALGDS]
Xrcc6	[XRCC6]
H1f10	[H1-10]
Xrcc3	[XRCC3]
Xrcc2	[XRCC2]
Xrcc5	[XRCC5]
Xrcc4	[XRCC4]
Xrcc1	[XRCC1]
Ddrgk1	[DDRGK1]
Kndc1	[KNDC1]
Atoh7	[ATOH7]
Ndufc1	[NDUFC1]
Atoh8	[ATOH8]
Ndufc2	[NDUFC2, NDUFC2-KCTD14]
E130311K13Rik	[C3orf33]
Iqce	[IQCE]
Iqcc	[IQCC]
Iqcd	[IQCD]
Nxph1	[NXPH1]
A4galt	[A4GALT]
Iqcj	[IQCJ]
Iqcg	[IQCG]
Atoh1	[ATOH1]
Iqch	[IQCH]
Lipt1	[LIPT1]
Iqcm	[IQCM]
Lipt2	[LIPT2]
Iqcn	[IQCN]
Nxph4	[NXPH4]
Iqck	[IQCK]
Nxph3	[NXPH3]
Nxph2	[NXPH2]
Or5j3	[OR5J2]
Cfap300	[CFAP300]
Mastl	[MASTL]
Mir500	[MIR500B, MIR500A]
Utf1	[UTF1]
Nlrp9b	[NLRP9]
Rpl13-ps6	[RPL13]
Nlrp9a	[NLRP9]
Cald1	[CALD1]
Nlrp9c	[NLRP9]
Slc50a1	[SLC50A1]
Zar1	[ZAR1]
Cyren	[CYREN]
Kidins220	[KIDINS220]
Cyp3a59	[CYP3A7-CYP3A51P, CYP3A43, CYP3A7]
Hsdl1	[HSDL1]
Or5k8	[OR5K3]
Hsdl2	[HSDL2]
Cyp3a57	[CYP3A43]
Oas2	[OAS2]
Or5k1	[OR5K2, OR5K1]
Mlst8	[MLST8]
Oas3	[OAS3]
Or5k3	[OR5K3]
Hspbp1	[HSPBP1]
Aurkc	[AURKC]
2310011J03Rik	[C19orf25]
Aurka	[AURKA]
Aurkb	[AURKB]
Cd1d2	[CD1D]
Fcamr	[FCAMR]
Igf2os	[IGF2-AS]
Cd1d1	[CD1D]
Ndufa1	[NDUFA1]
Trav5-1	[TRAV13-2, TRAV13-1]
Gm28729	[LINC02618]
Trav5-4	[TRAV13-2, TRAV13-1]
Ndufa3	[NDUFA3]
Ndufa2	[NDUFA2]
Ndufa5	[NDUFA5]
Ndufa4	[NDUFA4]
Cpxm1	[CPXM1]
Ndufa7	[NDUFA7]
Ndufa6	[NDUFA6]
Ndufa9	[NDUFA9]
Igfbpl1	[IGFBPL1]
Ndufa8	[NDUFA8]
Mast3	[MAST3]
Cpxm2	[CPXM2]
Mast4	[MAST4]
Cyp3a44	[CYP3A5]
Mast1	[MAST1]
Daw1	[DAW1]
Mast2	[MAST2]
Cdc42se1	[CDC42SE1]
Mir128-2	[MIR128-2]
Mir128-1	[MIR128-1]
Calb1	[CALB1]
Ppme1	[PPME1]
Cdc42se2	[CDC42SE2]
Calb2	[CALB2]
Ndufb2	[NDUFB2]
Ndufb1	[NDUFB1]
Pdx1	[PDX1]
Or52n2c	[OR52N2]
Ndufb4	[NDUFB4]
Or52n2b	[OR52N2]
Ndufb3	[NDUFB3]
Ndufb6	[NDUFB6]
Ndufb5	[NDUFB5]
Ndufb8	[NDUFB8]
Ndufb7	[NDUFB7]
Tmed10-ps	[TMED10]
Ndufb9	[NDUFB9]
Or5m8	[OR5M8]
Or5m9	[OR5M9]
Or5m3	[OR5M3]
Cemip2	[CEMIP2]
Etfrf1	[ETFRF1]
Cyth2	[CYTH2]
Cyth3	[CYTH3]
Cyth4	[CYTH4]
Hoxc4	[HOXC4]
Heatr5b	[HEATR5B]
Hoxc5	[HOXC5]
Heatr5a	[HEATR5A]
Hoxc8	[HOXC8]
Pdyn	[PDYN]
Hoxc9	[HOXC9]
Hoxc6	[HOXC6]
Cyth1	[CYTH1]
Fam221b	[FAM221B]
Fam221a	[FAM221A]
Hoxd1	[HOXD1]
Fzd10	[FZD10]
Vsig10l	[VSIG10L]
Pard6b	[PARD6B]
Cand1	[CAND1]
Ss18l2	[SS18L2]
Pard6a	[PARD6A]
Lsm10	[LSM10]
Ss18l1	[SS18L1]
Hoxb9	[HOXB9]
Pdxk	[PDXK]
Lsm11	[LSM11]
Cand2	[CAND2]
Lsm12	[LSM12]
Dmrtc2	[DMRTC2]
Hoxb3	[HOXB3]
Hoxb4	[HOXB4]
Pdxp	[PDXP]
Hoxb1	[HOXB1]
Hoxb2	[HOXB2]
Hoxb7	[HOXB7]
Hoxb8	[HOXB8]
Tnni3	[TNNI3]
Hoxb5	[HOXB5]
Oc90	[OC90]
Tnni2	[TNNI2]
Hoxb6	[HOXB6]
Snd1	[SND1]
Tnni1	[TNNI1]
Lins1	[LINS1]
Fam222a	[FAM222A]
Fam222b	[FAM222B]
Zc3h7b	[ZC3H7B]
Cntfr	[CNTFR]
Zc3h7a	[ZC3H7A]
Sncg	[SNCG]
Pard6g	[PARD6G]
Sncb	[SNCB]
Snca	[SNCA]
Glud1	[GLUD1, GLUD2]
Trav7-2	[TRAV12-3, TRAV12-2, TRAV12-1]
Trav7-1	[TRAV12-3]
Trav7-4	[TRAV12-3, TRAV12-2, TRAV12-1]
Trav7-3	[TRAV12-3]
Oaz1	[OAZ1]
Trav7-6	[TRAV12-3, TRAV12-2, TRAV12-1]
Trav7-5	[TRAV12-3, TRAV12-2, TRAV12-1]
Oaz3	[OAZ3]
Oaz2	[OAZ2]
Elane	[ELANE]
Gm40460	[KRTAP5-10, KRTAP5-9, KRTAP5-7, KRTAP5-11, KRTAP5-3, KRTAP5-2]
Hoxd3	[HOXD3]
Snf8	[SNF8]
Hoxd4	[HOXD4]
Hoxd9	[HOXD9]
Rreb1	[RREB1]
Npy6r	[NPY6R]
Mir199b	[MIR199B]
Hoxd8	[HOXD8]
Dmac2l	[DMAC2L]
Septin11	[SEPTIN11]
Septin10	[SEPTIN10]
Septin12	[SEPTIN12]
Septin14	[SEPTIN14]
Daxx	[DAXX]
Mthfs	[MTHFS, MTERF1]
Mthfr	[MTHFR]
Mir196b	[MIR196B]
Ptchd1	[PTCHD1]
Nxnl2	[NXNL2]
Nxnl1	[NXNL1]
Ptchd3	[PTCHD3]
Ptchd4	[PTCHD4]
Batf3	[BATF3]
Syndig1l	[SYNDIG1L]
Batf2	[BATF2]
Tnnc2	[TNNC2]
Eea1	[EEA1]
Tnnc1	[TNNC1]
Tomm40	[TOMM40]
Gm14137	[C15orf62]
Spire2	[SPIRE2]
Dazl	[DAZL, DAZ4, DAZ3, DAZ2, DAZ1]
Sanbr	[SANBR]
Spire1	[SPIRE1]
Golga7b	[GOLGA7B]
Hsbp1	[HSBP1]
Cntd1	[CNTD1]
Ahnak	[AHNAK]
Sytl1	[SYTL1]
Tomm34	[TOMM34]
Sytl4	[SYTL4]
Sytl5	[SYTL5]
Sytl2	[SYTL2]
Sytl3	[SYTL3]
Gpa33	[GPA33]
Marchf5	[MARCHF5]
Marchf6	[MARCHF6]
Cd300c2	[CD300C]
Marchf3	[MARCHF3]
Marchf4	[MARCHF4]
Marchf9	[MARCHF9]
Marchf7	[MARCHF7]
Marchf8	[MARCHF8]
Tafazzin	[TAFAZZIN]
Fhod1	[FHOD1]
Marchf1	[MARCHF1]
Marchf2	[MARCHF2]
Fhod3	[FHOD3]
Caskin1	[CASKIN1]
Caskin2	[CASKIN2]
Exosc9	[EXOSC9]
Mir195a	[MIR195]
Exosc8	[EXOSC8]
Vsig10l2	[VSIG10L2]
Exosc5	[EXOSC5]
Exosc4	[EXOSC4]
Exosc7	[EXOSC7]
Exosc6	[EXOSC6]
Exosc1	[EXOSC1]
Trip12	[TRIP12]
Trip13	[TRIP13]
Utp3	[UTP3]
Exosc3	[EXOSC3]
Trip10	[TRIP10]
Trip11	[TRIP11]
Utp4	[UTP4]
Exosc2	[EXOSC2]
Utp6	[UTP6]
Fam220a	[FAM220A, FAM220BP]
Notum	[NOTUM]
Adat1	[ADAT1]
Trav6n-5	[TRAV9-1]
Trav6n-6	[TRAV9-2]
Or4b12	[OR4B1]
Trav6n-7	[TRAV9-2]
Or4b13	[OR4B1]
Adat2	[ADAT2]
Adat3	[ADAT3]
Gnpda1	[GNPDA1]
Adap2	[ADAP2]
Ctnnbl1	[CTNNBL1]
Plcxd3	[PLCXD3]
Gnpda2	[GNPDA2]
Gm3776	[GSTA5, GSTA3, GSTA2, GSTA1]
Hhipl2	[HHIPL2]
Hhipl1	[HHIPL1]
Ctdp1	[CTDP1]
Utrn	[UTRN]
Sap30	[SAP30]
Zc3h10	[ZC3H10]
4930558K02Rik	[C1orf105]
Slc28a2b	[SLC28A2]
Rtkn2	[RTKN2]
Uts2	[UTS2]
Tubd1	[TUBD1]
Plcxd1	[PLCXD1]
Sap25	[SAP25]
Plcxd2	[PLCXD2]
Pef1	[PEF1]
Tuba8	[TUBA8]
Zc3h18	[ZC3H18]
Zc3h15	[ZC3H15]
Tomm22	[TOMM22]
Zc3h14	[ZC3H14]
Tomm20	[TOMM20]
Zc3h13	[ZC3H13]
Pecr	[PECR]
Tubb5	[TUBB]
Tubb6	[TUBB6]
Tubb3	[TUBB3]
Nipsnap3a	[NIPSNAP3B, NIPSNAP3A]
Nipsnap3b	[NIPSNAP3B, NIPSNAP3A]
Tubb1	[TUBB1]
A930018P22Rik	[C11orf91]
Eef2	[EEF2]
Arl8b	[ARL8B]
Arl8a	[ARL8A]
Hnmt	[HNMT]
Tcp11	[TCP11]
Dnmt1	[DNMT1]
Mir590	[MIR590]
Mir592	[MIR592]
Adap1	[ADAP1]
Mir599	[MIR599]
Mir598	[MIR598]
Arl5c	[ARL5C]
