Regulator	RegulatoryEffect	TargetGene
ETS1	upregulates-expression	CSF3R
ZFPM1	upregulates-expression	ITGA2B
MYC	upregulates-expression	IPO7
RELA	upregulates-expression	OXTR
KAT6A	upregulates-expression	HOXA9
NR2C2	downregulates-expression	KLK3
NR2C1	downregulates-expression	KLK3
HLF	downregulates-expression	RUNX1
HEY2	upregulates-expression	HEYL
HEYL	upregulates-expression	HEY2
HEY1	upregulates-expression	HEYL
HEYL	upregulates-expression	HEY1
HEY1	upregulates-expression	HEY2
HEY2	upregulates-expression	HEY1
ETS2	upregulates-expression	CSF1R
ETS1	upregulates-expression	CSF1R
SP1	upregulates-expression	ADGRE5
SP3	upregulates-expression	ADGRE5
FGL1	upregulates-expression	HMGA1
RUNX1	downregulates-expression	IL3
TGS1	upregulates-expression	PEX11A
TP53	upregulates-expression	MMP2
MMP2	upregulates-expression	TP53
TFDP2	upregulates-expression	CASP7
T	upregulates-expression	TCF7L2
BCL6	downregulates-expression	SUMO1
TFDP2	upregulates-expression	BBC3
TFDP1	upregulates-expression	BBC3
TFAP2A	downregulates-expression	MCAM
RUNX1	downregulates-expression	SERPINB13
REL	upregulates-expression	IL1B
CREB1	upregulates-expression	IL6
ESR1	upregulates-expression	PMAIP1
HNF4A	downregulates-expression	GFER
IKBKB	downregulates-expression	NOS2
EZH2	downregulates-expression	PEBP1
ZBTB2	upregulates-expression	MDM2
JUND	upregulates-expression	NOS2
JUNB	upregulates-expression	NOS3
SP1	upregulates-expression	IL10
HLA-A	upregulates-expression	EOMES
NPAS2	upregulates-expression	TIMELESS
SP3	upregulates-expression	RELA
SP1	upregulates-expression	RELA
SP4	upregulates-expression	RELA
YBX1	upregulates-expression	RAD9A
NR3C2	downregulates-expression	CABIN1
PDX1	upregulates-expression	IAPP
MED1	upregulates-expression	ALAS1
BCL6	downregulates-expression	GLI2
FOSL1	upregulates-expression	ITGB4
TFAP2A	upregulates-expression	IGFBP5
E2F3	upregulates-expression	CAV1
E2F2	upregulates-expression	CAV1
XBP1	upregulates-expression	MYDGF
E2F1	upregulates-expression	CAV1
SP1	upregulates-expression	RETN
NFYB	upregulates-expression	BCL2L11
NFYA	upregulates-expression	BCL2L11
FOS	downregulates-expression	TP53
NFYC	upregulates-expression	BCL2L11
PDCD6IP	downregulates-expression	CTNNB1
KLF8	upregulates-expression	EPSTI1
STAT1	downregulates-expression	IL17A
GLI2	upregulates-expression	IFITM5
NR2F2	downregulates-expression	TERT
SP1	upregulates-expression	RECK
RUVBL2	upregulates-expression	NME1
RUVBL1	upregulates-expression	NME1
STAT3	upregulates-expression	AKT1
OTX2	upregulates-expression	RBP3
IL23R	upregulates-expression	CCL2
HDAC1	downregulates-expression	HLA-DRA
ATF2	upregulates-expression	NOS2
IL23A	upregulates-expression	CCL2
HELZ2	upregulates-expression	PEX11A
PPARD	downregulates-expression	HSD11B2
TYK2	upregulates-expression	ITGA3
BCL2	upregulates-expression	CTNNB1
MYC	upregulates-expression	TAF4B
RBPJ	upregulates-expression	DLGAP5
IL23R	upregulates-expression	CD3E
NFKB1	downregulates-expression	PPARG
IL23A	upregulates-expression	CD3E
SP1	upregulates-expression	IDI1
XBP1	upregulates-expression	DDX11
SMAD4	upregulates-expression	NANOG
KLF4	downregulates-expression	LXN
SMAD2	upregulates-expression	NANOG
KLF2	downregulates-expression	CXCR4
DLX4	downregulates-expression	BRCA1
ARNTL	upregulates-expression	BHLHE41
ARNTL	upregulates-expression	BHLHE40
MEF2A	downregulates-expression	SOST
MEF2D	downregulates-expression	SOST
MEF2C	downregulates-expression	SOST
SP1	upregulates-expression	COL11A2
CREBBP	upregulates-expression	CD36
SP7	upregulates-expression	COL11A2
SP3	upregulates-expression	COL11A2
RCC1	upregulates-expression	MYC
MYC	upregulates-expression	RCC1
BCL3	upregulates-expression	EGFR
CREB5	upregulates-expression	CFB
MPG	downregulates-expression	TFF1
CREB1	upregulates-expression	CGA
TFDP2	upregulates-expression	CES1P1
TFDP1	upregulates-expression	CES1P1
WWTR1	upregulates-expression	NPPA
TP53	upregulates-expression	SIVA1
SIVA1	upregulates-expression	TP53
MYC	downregulates-expression	BRD7
TGS1	upregulates-expression	CYP4A11
PPARG	upregulates-expression	ERO1A
LEF1	upregulates-expression	ELANE
PSEN1	downregulates-expression	RBPJ
IL12B	upregulates-expression	CCL4
IL12B	upregulates-expression	CCL3
IL12A	upregulates-expression	CCL4
IL12B	upregulates-expression	CCL2
IL12A	upregulates-expression	CCL3
NFIC	downregulates-expression	MATN1
CEBPA	upregulates-expression	SPP1
FOXM1	upregulates-expression	AURKB
IL12B	upregulates-expression	CCR5
IL12A	upregulates-expression	CCR5
CEBPB	upregulates-expression	ABCB1
ABCB1	upregulates-expression	CEBPB
MAX	upregulates-expression	TAF4B
ABCA3	upregulates-expression	CEBPA
SPI1	upregulates-expression	CEBPE
ERBB4	upregulates-expression	WWP1
IL12B	upregulates-expression	CD3E
NFKBIA	upregulates-expression	BIRC3
RELA	downregulates-expression	TRIB3
HIST2H2BE	downregulates-expression	GLI2
HIF1A	upregulates-expression	IGFBP1
ESR1	upregulates-expression	GREB1
MED1	upregulates-expression	TXNRD1
CBFB	downregulates-expression	SERPINB13
CYP17A1	downregulates-expression	SMAD3
SMAD3	downregulates-expression	CYP17A1
FAM120B	downregulates-expression	LEP
PPARG	downregulates-expression	CSF1
RELA	upregulates-expression	LPL
SMARCE1	upregulates-expression	KLK3
RXRA	upregulates-expression	GLIPR1
SMARCC1	upregulates-expression	KLK3
AMHR2	upregulates-expression	TCF7L2
SMARCA2	upregulates-expression	KLK3
ABCA1	downregulates-expression	GLI2
NCOA2	upregulates-expression	PPARA
NCOA1	upregulates-expression	PPARA
NCOA6	upregulates-expression	PPARA
NFYC	upregulates-expression	SQLE
NFYB	upregulates-expression	SQLE
NFYA	upregulates-expression	SQLE
H2BFS	upregulates-expression	MYC
VHL	downregulates-expression	ANGPT2
WT1	upregulates-expression	ADGRE5
TP73	downregulates-expression	AFP
ACTL6A	upregulates-expression	HSPD1
MED1	upregulates-expression	CYP1A1
ARNT	upregulates-expression	NT5E
IL12RB2	upregulates-expression	IFNG
IL12RB1	upregulates-expression	IFNG
LHX4	upregulates-expression	POU1F1
LHX2	upregulates-expression	POU1F1
HES1	downregulates-expression	PTGDS
SMARCD3	upregulates-expression	HMGCR
TP53	downregulates-expression	AFP
TP53	upregulates-expression	VCAN
VCAN	upregulates-expression	TP53
KAT2A	upregulates-expression	CCND2
MSC	upregulates-expression	IL10
PAX5	downregulates-expression	BCL2
PAWR	downregulates-expression	BCL2
SHOX	upregulates-expression	NPPB
NFE2L2	upregulates-expression	KRT16
MYB	upregulates-expression	IL15
RELA	downregulates-expression	TIMP1
BNIP3	upregulates-expression	HIF1A
HIF1A	upregulates-expression	BNIP3
MAML3	upregulates-expression	ACTA2
MAML2	upregulates-expression	ACTA2
MAML1	upregulates-expression	ACTA2
HOXB7	downregulates-expression	DAPK1
NR1I2	upregulates-expression	IL10
CEBPB	upregulates-expression	STAR
CEBPA	upregulates-expression	STAR
ITGA11	upregulates-expression	SP1
JUN	upregulates-expression	RHOB
SAA1	upregulates-expression	STAT3
STAT3	upregulates-expression	SAA1
NR1H4	upregulates-expression	RELA
EIF4E	upregulates-expression	ODC1
ESR1	upregulates-expression	PLAC1
TAL1	upregulates-expression	MYCN
SP1	upregulates-expression	IGF2
ISL1	upregulates-expression	GIP
TOP1	upregulates-expression	E2F1
RELA	upregulates-expression	CXCL8
EGR1	upregulates-expression	PCSK2
RELA	upregulates-expression	CXCL1
TBX21	downregulates-expression	YY1
MYCN	downregulates-expression	DKK3
TP53	upregulates-expression	E2F7
RXRA	upregulates-expression	SLC27A1
RBL2	downregulates-expression	RAD51
ABCB1	upregulates-expression	CTNNB1
PPARA	upregulates-expression	HMGCS2
E2F1	upregulates-expression	TP73
TP73	upregulates-expression	E2F1
PPARA	upregulates-expression	HMGCS1
AR	upregulates-expression	CDC6
CDC6	upregulates-expression	AR
RARA	upregulates-expression	SCD
RXRA	upregulates-expression	FHL2
IL12B	upregulates-expression	GADD45G
IL12A	upregulates-expression	GADD45G
EGR1	upregulates-expression	SYN1
PPARG	downregulates-expression	ICAM1
AR	upregulates-expression	CDH2
CDH2	upregulates-expression	AR
IL12B	upregulates-expression	GADD45B
IL12A	upregulates-expression	GADD45B
AIMP2	upregulates-expression	MYC
RFC2	upregulates-expression	MYC
GATA3	downregulates-expression	EPO
GATA2	downregulates-expression	EPO
MYCN	upregulates-expression	BMI1
ADAM2	downregulates-expression	CTNNB1
GABPA	upregulates-expression	POLG2
TCF7L2	upregulates-expression	DKK1
DKK1	upregulates-expression	TCF7L2
CCNK	upregulates-expression	MDC1
CCNH	upregulates-expression	MDC1
POLA1	upregulates-expression	GABPA
SNRPB	upregulates-expression	MYC
MZF1	upregulates-expression	BLMH
TP63	upregulates-expression	ADRM1
EZH2	downregulates-expression	FOXC1
TP53	upregulates-expression	NFKB1
FANCD2	upregulates-expression	BRCA1
BRCA1	upregulates-expression	FANCD2
BTF3	upregulates-expression	HPSE2
DCT	upregulates-expression	CREB1
FOXF2	upregulates-expression	CXCL12
PTTG1	downregulates-expression	TIMP2
RELA	upregulates-expression	CXCR2
RELA	upregulates-expression	CXCR4
H2AFZ	upregulates-expression	MYC
MYB	upregulates-expression	H2AFZ
H2AFX	upregulates-expression	MYC
H2AFV	upregulates-expression	MYC
H2AFJ	upregulates-expression	MYC
TFCP2	upregulates-expression	SPP1
ATF4	downregulates-expression	HSPA5
CDK19	upregulates-expression	PLIN1
TP53	upregulates-expression	CCNG1
IKZF3	upregulates-expression	BCL2
GABPB1	upregulates-expression	POLG2
FOSL2	upregulates-expression	FOSL1
TFAP2A	upregulates-expression	CD82
TBL1X	upregulates-expression	CYP4A11
TP63	upregulates-expression	CCNB2
AR	upregulates-expression	NKX3-1
NFATC3	upregulates-expression	EGR3
NFATC3	upregulates-expression	EGR2
NFATC2	upregulates-expression	EGR3
NFATC2	upregulates-expression	EGR2
NFATC1	upregulates-expression	EGR3
NFATC1	upregulates-expression	EGR2
RBMX	upregulates-expression	TXNIP
STAT4	downregulates-expression	CDC42
PPARGC1A	upregulates-expression	TFAM
STAT4	downregulates-expression	LCP1
NCOR1	downregulates-expression	SNAI2
EAPP	downregulates-expression	MAOB
CITED2	downregulates-expression	MMP1
CARM1	upregulates-expression	PEX11A
PPARA	downregulates-expression	UCP1
ID2	upregulates-expression	SNAI1
JUNB	downregulates-expression	GLI2
STAT6	upregulates-expression	RHOA
STAT3	upregulates-expression	RHOU
CHD9	upregulates-expression	ACOX1
E2F1	upregulates-expression	BCL2
ETS1	upregulates-expression	CIP2A
NTSR1	upregulates-expression	CTNNB1
FOXM1	upregulates-expression	CDK1
BRCA1	upregulates-expression	ASPM
EP300	downregulates-expression	KRT14
LRP1	downregulates-expression	CTNNB1
MTF1	upregulates-expression	SNCB
DNMT1	upregulates-expression	VEGFA
EZH2	upregulates-expression	KPNB1
ATF4	upregulates-expression	VEGFA
MECP2	downregulates-expression	PVALB
EP300	upregulates-expression	CDC25A
FOXA2	upregulates-expression	CDH1
GTF2A2	upregulates-expression	TFF1
GTF2A1	upregulates-expression	TFF1
DENND4A	downregulates-expression	ERBB2
CBFB	upregulates-expression	CSF2
SRCAP	upregulates-expression	KLK3
FOXM1	upregulates-expression	CDC6
STAT5B	upregulates-expression	SRP9
STAT5A	upregulates-expression	SRP9
TRAP1	upregulates-expression	MYC
POU5F1	upregulates-expression	THY1
JUN	downregulates-expression	TERT
F2	upregulates-expression	HNF4A
HNF4A	upregulates-expression	F2
NPC1L1	upregulates-expression	HNF4A
HNF4A	upregulates-expression	NPC1L1
GCM1	upregulates-expression	ERVW-1
MSX1	downregulates-expression	DKK1
FOXM1	upregulates-expression	CKS1B
ARNT	upregulates-expression	EDN1
MTF1	upregulates-expression	SOD1
NFIC	upregulates-expression	HMGB1
KLF8	downregulates-expression	FN1
FOXP3	upregulates-expression	CTLA4
TGIF1	downregulates-expression	KLK3
RFX1	upregulates-expression	COL1A2
RBBP8	downregulates-expression	HEY1
HIF1A	downregulates-expression	CDH1
RUNX3	downregulates-expression	HSPD1
ATP8A1	upregulates-expression	FOXO3
ATP8A1	upregulates-expression	FOXO1
GLI2	upregulates-expression	MUC5AC
GLI1	upregulates-expression	MUC5AC
HIF1A	upregulates-expression	FURIN
NCOA2	upregulates-expression	CYP4A11
NCOA1	upregulates-expression	CYP4A11
NCOA6	upregulates-expression	CYP4A11
EPAS1	upregulates-expression	COL10A1
STAT3	downregulates-expression	TYK2
AR	downregulates-expression	MUC1
MSX2	upregulates-expression	SOD1
BCL6	upregulates-expression	STAT5B
BCL6	upregulates-expression	STAT5A
STAT5B	upregulates-expression	BCL2
STAT5A	upregulates-expression	BCL2
KLF5	upregulates-expression	ITGB2
FOXA2	upregulates-expression	ALAS1
EP300	upregulates-expression	IFNB1
CREBBP	upregulates-expression	PLIN1
CREBBP	upregulates-expression	PLIN2
SPP1	upregulates-expression	MSX2
TAF1	upregulates-expression	AR
PCSK6	upregulates-expression	E2F3
PCSK6	upregulates-expression	E2F2
E2F1	upregulates-expression	PCSK6
PCSK6	upregulates-expression	E2F1
ETS1	upregulates-expression	SOCS1
TFDP2	downregulates-expression	BRCA1
TFDP1	downregulates-expression	BRCA1
JUN	upregulates-expression	TIMP1
HNRNPA1	upregulates-expression	MYC
MYC	upregulates-expression	HNRNPA1
ATM	downregulates-expression	PMAIP1
PTCH1	upregulates-expression	CTNNB1
HOXB7	upregulates-expression	PDGFA
CREB1	upregulates-expression	NTF3
KAT2A	upregulates-expression	CDK4
DDX5	upregulates-expression	TFF1
YBX1	downregulates-expression	SKP2
CBFB	upregulates-expression	CLDN5
SIX1	upregulates-expression	VEGFC
CHD9	upregulates-expression	CYP7A1
SP3	upregulates-expression	PADI1
SP1	upregulates-expression	PADI1
SETBP1	downregulates-expression	PTGS2
NFKB1	upregulates-expression	TNFRSF13C
CREBBP	upregulates-expression	BCL2
PAX6	upregulates-expression	PROX1
RFWD2	downregulates-expression	COP1
NFKB1	upregulates-expression	TNFRSF10B
KLF4	downregulates-expression	HDC
JUND	upregulates-expression	MMP1
JUNB	upregulates-expression	MMP2
HDAC3	downregulates-expression	ARNTL
PGR	upregulates-expression	HLTF
TP53	downregulates-expression	FGF2
NOTCH1	upregulates-expression	MYC
MYC	downregulates-expression	PDGFRB
DNMT1	downregulates-expression	TIMP3
SMAD4	downregulates-expression	EBAG9
CRMP1	upregulates-expression	CEBPA
TP63	upregulates-expression	SPATA18
SP1	downregulates-expression	TICAM1
ZBTB17	downregulates-expression	LGALS1
MYC	upregulates-expression	CHEK2
MYC	upregulates-expression	CHEK1
NKX2-5	downregulates-expression	DACT2
NKX2-5	downregulates-expression	DACT1
NKX2-5	downregulates-expression	DACT3
ESRRA	upregulates-expression	CYCS
NFKB1	upregulates-expression	NFKBIB
NFIC	downregulates-expression	CCND1
NFIB	downregulates-expression	CCND1
NFIA	downregulates-expression	CCND1
EP300	upregulates-expression	GZMB
JUN	upregulates-expression	COL24A1
PELP1	upregulates-expression	KLK3
LEF1	upregulates-expression	CDX1
LEF1	upregulates-expression	CDX4
FANCD2	upregulates-expression	MDC1
MDC1	upregulates-expression	FANCD2
STAT4	upregulates-expression	HNRNPDL
CREB1	upregulates-expression	ETV3
TBP	downregulates-expression	BCL2
GZF1	downregulates-expression	HOXA10
DEFA5	upregulates-expression	CTNNB1
SPI1	downregulates-expression	PARG
SREBF2	upregulates-expression	CYP51A1
SREBF1	upregulates-expression	CYP51A1
THRB	downregulates-expression	CGA
CBFB	upregulates-expression	LIFR
PPARGC1A	upregulates-expression	ESRRA
GABPB1	upregulates-expression	SSBP1
E2F1	upregulates-expression	CASP7
TP53	upregulates-expression	CTSD
AIM1	upregulates-expression	CTNNB1
NR6A1	downregulates-expression	TDGF1
IL2	upregulates-expression	TNFRSF18
MLLT3	upregulates-expression	SCNN1A
POU5F1	downregulates-expression	DKK1
SUPT16H	upregulates-expression	MDC1
NFKB1	upregulates-expression	TBX21
SOX2	upregulates-expression	MMP3
ARNTL	upregulates-expression	PPARA
FOS	downregulates-expression	TERT
CEBPB	upregulates-expression	PTGS2
PTGS2	upregulates-expression	CEBPB
NFKB2	downregulates-expression	HIF1A
ACTL6A	upregulates-expression	NCL
ID3	downregulates-expression	TCF3
CEACAM7	downregulates-expression	GLI2
CEACAM6	downregulates-expression	GLI2
MRTFA	upregulates-expression	CCN1
SP1	upregulates-expression	SMPD1
TP73	upregulates-expression	CLCA2
HDAC1	downregulates-expression	HES1
APOC3	upregulates-expression	SMAD3
PPARGC1A	upregulates-expression	RUNX2
SMAD3	upregulates-expression	APOC3
TP63	upregulates-expression	CLCA2
HSF1	downregulates-expression	IL1B
MYC	upregulates-expression	RIOX2
APOC3	upregulates-expression	SMAD4
SMAD4	upregulates-expression	APOC3
PTTG1	upregulates-expression	VEGFA
TFAP2C	upregulates-expression	CGB3
TFAP2A	upregulates-expression	CGB3
HELZ2	downregulates-expression	LEP
XPC	downregulates-expression	CASP2
MAX	downregulates-expression	PDGFRB
E2F1	upregulates-expression	CES1P1
POU2F1	upregulates-expression	GADD45A
HIF1A	upregulates-expression	SETD2
KLF10	upregulates-expression	PTGS1
MAZ	upregulates-expression	HRAS
ESR1	upregulates-expression	CRHBP
MECP2	downregulates-expression	SGK1
TFDP1	upregulates-expression	MYBL2
EXOSC9	downregulates-expression	CXCL8
EXOSC8	downregulates-expression	CXCL8
EXOSC7	downregulates-expression	CXCL8
EXOSC6	downregulates-expression	CXCL8
ABCB1	upregulates-expression	NFKB1
EXOSC1	downregulates-expression	CXCL8
EXOSC5	downregulates-expression	CXCL8
EXOSC4	downregulates-expression	CXCL8
EXOSC3	downregulates-expression	CXCL8
EXOSC2	downregulates-expression	CXCL8
STIL	upregulates-expression	E2F1
FOXP3	upregulates-expression	CCR4
SMAD4	upregulates-expression	MEF2C
SMAD2	upregulates-expression	MEF2C
STAT1	downregulates-expression	HSP90AA1
ATM	upregulates-expression	DUSP1
CD55	upregulates-expression	FOXO3
FOXA1	upregulates-expression	NDUFV3
EP300	upregulates-expression	CDKN1A
CBFB	upregulates-expression	UCMA
RUNX3	upregulates-expression	CLDN7
NFKB1	upregulates-expression	BCL3
BCL2	upregulates-expression	NFKB1
NFKB1	upregulates-expression	BCL2
AGO4	downregulates-expression	CDKN2A
AGO3	downregulates-expression	CDKN2A
RUNX1	upregulates-expression	CLDN5
AGO1	downregulates-expression	CDKN2A
ATF6	upregulates-expression	HSP90B1
HSP90B1	upregulates-expression	ATF6
SIK1	downregulates-expression	PER1
EPAS1	upregulates-expression	PGK1
GABPA	upregulates-expression	POLRMT
BRCA1	upregulates-expression	CYP19A1
RXRA	upregulates-expression	NPAS2
PPARA	upregulates-expression	FDFT1
TP73	upregulates-expression	IL1RAP
POU2F1	upregulates-expression	KLK3
E2F1	downregulates-expression	E2F4
E2F8	downregulates-expression	E2F1
E2F7	downregulates-expression	E2F1
E2F5	downregulates-expression	E2F1
ARNT	upregulates-expression	VEGFA
CBFB	upregulates-expression	FOXP3
XBP1	upregulates-expression	ARFGAP1
STAT3	upregulates-expression	IL6R
PTGS2	upregulates-expression	CTNNB1
TNFRSF10C	upregulates-expression	TNFRSF10D
TNFRSF10D	upregulates-expression	TNFRSF10C
IL2	upregulates-expression	TNFRSF4
NCOA1	upregulates-expression	SMARCC1
TNFRSF10B	upregulates-expression	TNFRSF10D
TNFRSF10D	upregulates-expression	TNFRSF10B
TNFRSF10C	upregulates-expression	TNFRSF10B
TNFRSF10B	upregulates-expression	TNFRSF10C
TNFRSF10A	upregulates-expression	TNFRSF10D
TNFRSF10D	upregulates-expression	TNFRSF10A
TNFRSF10C	upregulates-expression	TNFRSF10A
TNFRSF10A	upregulates-expression	TNFRSF10C
TNFRSF10B	upregulates-expression	TNFRSF10A
TNFRSF10A	upregulates-expression	TNFRSF10B
MAX	downregulates-expression	S100A7
IL2	upregulates-expression	TNFRSF9
NFKB1	upregulates-expression	PLIN1
CBLB	upregulates-expression	FOXO3
ZBTB16	downregulates-expression	BCL2
PLA2G2A	upregulates-expression	CTNNB1
MAML1	upregulates-expression	GATA3
MAML2	upregulates-expression	GATA3
AGO3	downregulates-expression	PTEN
AGO2	downregulates-expression	PTEN
AGO1	downregulates-expression	PTEN
AGO4	downregulates-expression	PTEN
DNAJB9	downregulates-expression	GLI1
E2F1	upregulates-expression	ABCB1
FOS	upregulates-expression	TIMP1
NFKB1	upregulates-expression	ABCG2
EP300	upregulates-expression	EIF2AK1
RELA	upregulates-expression	FAF1
RXRA	upregulates-expression	CEBPE
GATA4	upregulates-expression	CCND2
GATA3	upregulates-expression	CCND1
CDC25A	downregulates-expression	CDKN1A
JUN	upregulates-expression	TNFRSF1B
RXRA	upregulates-expression	CEBPA
FOXO3	upregulates-expression	CAV1
FOXO1	upregulates-expression	CAV1
MED9	upregulates-expression	ADIPOQ
MED8	upregulates-expression	ADIPOQ
MED7	upregulates-expression	ADIPOQ
MED6	upregulates-expression	ADIPOQ
MED4	upregulates-expression	ADIPOQ
MED1	upregulates-expression	ADIPOQ
STAT3	downregulates-expression	TNFRSF10B
IL10	downregulates-expression	FCER2
BCL2	upregulates-expression	MITF
PARP1	downregulates-expression	SERPINF1
MYC	downregulates-expression	S100A7
STAT6	upregulates-expression	IL4R
BBC3	upregulates-expression	E2F1
E2F1	upregulates-expression	BBC3
TCFL5	downregulates-expression	CD2
POU5F1	downregulates-expression	DLX5
STAT4	upregulates-expression	IL10
STAT3	upregulates-expression	IL10
STAT4	upregulates-expression	IL13
STAT6	upregulates-expression	IL10
STAT1	upregulates-expression	IL1B
TSPAN8	upregulates-expression	CTNNB1
STAT3	upregulates-expression	IL1B
STAT3	upregulates-expression	IL18
STAT1	upregulates-expression	IL18
STAT3	upregulates-expression	IL21
CEBPB	upregulates-expression	S100A9
CEBPA	upregulates-expression	S100A9
DNMT1	upregulates-expression	MSH2
EP300	upregulates-expression	GP1BA
GATA1	upregulates-expression	CYBB
RBPJ	upregulates-expression	WWC1
SPDEF	upregulates-expression	MUC2
MAMLD1	upregulates-expression	PTCRA
RUNX3	upregulates-expression	ITGA4
RUNX2	upregulates-expression	ITGA5
PPARA	downregulates-expression	CYP2C9
RUNX3	upregulates-expression	ITGAL
ATF6	downregulates-expression	PDX1
ITGAX	upregulates-expression	RUNX1
SMARCA4	downregulates-expression	CCND1
JAK2	upregulates-expression	NOS2
FLNA	downregulates-expression	KLK3
MYB	upregulates-expression	YEATS4
SOX10	downregulates-expression	GJB1
BHLHE41	downregulates-expression	MLH1
RARA	downregulates-expression	MUC5AC
E2F3	downregulates-expression	MAD2L1BP
PPARA	upregulates-expression	PTGS2
E2F2	downregulates-expression	MAD2L1BP
E2F4	downregulates-expression	MAD2L1BP
MYC	upregulates-expression	SERPINI1
E2F1	upregulates-expression	TP53INP1
GABPB1	upregulates-expression	TFB1M
SAA1	upregulates-expression	CTNNB1
MMP7	upregulates-expression	HNF1B
MMP7	upregulates-expression	HNF1A
GABPB1	upregulates-expression	TFB2M
TWIST1	upregulates-expression	DNM3
SREBF1	upregulates-expression	GPAM
HNF4A	upregulates-expression	MMP7
NFATC1	downregulates-expression	SP1
MAX	upregulates-expression	SERPINI1
AR	upregulates-expression	KLK3
KLK3	upregulates-expression	AR
AR	upregulates-expression	KLK2
KLK2	upregulates-expression	AR
KLK4	upregulates-expression	AR
SP1	downregulates-expression	ABCC1
ATF3	upregulates-expression	GDF15
MLXIPL	upregulates-expression	ACLY
SMAD3	upregulates-expression	IFNB1
SP3	downregulates-expression	ABCA1
NR3C1	downregulates-expression	CCND3
SMAD4	upregulates-expression	IFNB1
NOTCH3	upregulates-expression	PBX1
NCOA2	upregulates-expression	NPAS2
NCOA1	upregulates-expression	NPAS2
NCOA6	upregulates-expression	NPAS2
NFKB1	upregulates-expression	BMP2
SGK1	downregulates-expression	GLI1
MTHFD1	upregulates-expression	MYC
AIP	downregulates-expression	TFF1
NR4A1	downregulates-expression	CCNA2
HDAC4	downregulates-expression	CDKN2A
HDAC3	downregulates-expression	CDKN2A
HDAC6	downregulates-expression	CDKN1A
BMI1	upregulates-expression	E2F1
RELA	upregulates-expression	FLT4
LEF1	upregulates-expression	KCNIP4
NCOA3	upregulates-expression	CEBPA
NCOA2	upregulates-expression	CEBPA
NCOA1	upregulates-expression	CEBPA
SATB1	downregulates-expression	CYBB
FOXA2	upregulates-expression	FOXA1
FOXA1	upregulates-expression	FOXA2
STAT5A	downregulates-expression	CCND2
TFAP2A	upregulates-expression	KRT5
HDAC1	downregulates-expression	CDKN1A
HDAC4	downregulates-expression	CDKN1A
HDAC2	downregulates-expression	CDKN1A
NR1H4	downregulates-expression	UGT2B4
FOXO4	upregulates-expression	FOXO3
FOXO1	upregulates-expression	FOXO3
HDAC1	upregulates-expression	COL1A2
PHB2	downregulates-expression	ARNT
RBBP4	downregulates-expression	CDC25A
TFAP2A	downregulates-expression	MUC4
RARA	upregulates-expression	CRH
STAT3	upregulates-expression	RORC
STAT3	upregulates-expression	RORA
MED1	upregulates-expression	KLK3
PITX1	downregulates-expression	IRF7
FGF18	upregulates-expression	TCF7L2
STAT3	upregulates-expression	TNFSF11
PITX1	downregulates-expression	IRF2
AR	upregulates-expression	TGFA
APOB	upregulates-expression	CEBPA
SUPT4H1	upregulates-expression	MDC1
FLI1	upregulates-expression	IL10
SIRT1	downregulates-expression	MMP9
MTOR	upregulates-expression	BCL2
KLF2	downregulates-expression	FABP5
ELOA3D	upregulates-expression	RAD51D
ELOA3B	upregulates-expression	RAD51D
AR	upregulates-expression	PDE9A
TBL1X	upregulates-expression	PEX11A
MYCN	upregulates-expression	ABCC1
EPAS1	upregulates-expression	PTK6
FOS	upregulates-expression	IFNG
RELA	upregulates-expression	AMH
KLF4	downregulates-expression	ODC1
EGR1	upregulates-expression	PLAUR
B2M	upregulates-expression	RELA
SUPT5H	upregulates-expression	CHEK1
TP63	upregulates-expression	TFAP2C
HOXA7	upregulates-expression	CDH1
TBL1XR1	upregulates-expression	APOA5
TBL1XR1	upregulates-expression	APOA2
TBL1XR1	upregulates-expression	APOA1
MAX	downregulates-expression	BCL2
HDAC1	downregulates-expression	MYBL2
FUS	upregulates-expression	DDIT3
MYC	downregulates-expression	BCL2
KRT14	downregulates-expression	SMAD7
SMAD7	downregulates-expression	KRT14
WNT11	upregulates-expression	CTNNB1
FOXA2	upregulates-expression	UCP2
NFYC	upregulates-expression	HMGCS1
NFYB	upregulates-expression	HMGCS1
HMGCS1	upregulates-expression	NFYA
NFYA	upregulates-expression	HMGCS1
FOS	upregulates-expression	DDIT3
CHD8	upregulates-expression	CCNE2
SP1	upregulates-expression	TIMP1
SP1	upregulates-expression	TIMP3
BRCA1	upregulates-expression	S100A2
ELK1	downregulates-expression	ACTA2
USF2	upregulates-expression	TRAP
MYC	downregulates-expression	LGALS1
USF1	upregulates-expression	TRAP
TBX2	upregulates-expression	MITF
H2AFJ	upregulates-expression	KDM4B
TAF12	upregulates-expression	CAD
CEBPG	upregulates-expression	ASNS
TAF10	upregulates-expression	CAD
LEF1	upregulates-expression	CLDN2
CARM1	upregulates-expression	CYP4A11
H2AFZ	upregulates-expression	KDM4B
H2AFX	upregulates-expression	KDM4B
H2AFV	upregulates-expression	KDM4B
RELA	upregulates-expression	BGN
MAX	downregulates-expression	LGALS1
EP300	upregulates-expression	SREBF1
CEBPB	upregulates-expression	ARG1
EP300	upregulates-expression	TBXAS1
LTA4H	upregulates-expression	MYC
SMAD4	upregulates-expression	LAMC1
SMAD3	upregulates-expression	LAMC1
AKT1	upregulates-expression	CTNNB1
VAV3	upregulates-expression	KLK3
WT1	downregulates-expression	CYP19A1
